"date","_5SP151040-open","_5SP151040-high","_5SP151040-low","_5SP151040-close","_5SP151040-vol"
"3/31/2017","103.35","104.78","103.25","103.66","0"
"4/3/2017","104.34","104.75","102.99","104.59","0"
"4/4/2017","105.33","105.83","104.69","105.83","0"
"4/5/2017","106.39","107.03","105.16","105.23","0"
"4/6/2017","105.47","106.32","104.57","105.63","0"
"4/7/2017","105.72","106.61","105.19","105.69","0"
"4/10/2017","105.48","106.33","104.98","105.95","0"
"4/11/2017","106.45","107.29","105.33","106.99","0"
"4/12/2017","106.22","106.22","102.91","103.47","0"
"4/13/2017","103.52","103.75","101.59","101.91","0"
"4/17/2017","102.25","102.42","101.48","102.23","0"
"4/18/2017","101.37","101.97","100.48","101.32","0"
"4/19/2017","101.43","101.97","100.07","100.38","0"
"4/20/2017","100.78","103.12","100.77","102.6","0"
"4/21/2017","102.39","102.49","101.18","102.15","0"
"4/24/2017","102.87","103.83","102.2","102.44","0"
"4/25/2017","103.53","104.75","102.41","103.67","0"
"4/26/2017","102.23","106.27","102.23","105.42","0"
"4/27/2017","105.06","105.06","103.25","103.87","0"
"4/28/2017","104.17","105.28","103.8","103.95","0"
"5/1/2017","103.96","104.28","102.4","102.5","0"
"5/2/2017","102.27","103.73","102.07","103.29","0"
"5/3/2017","102.31","102.31","100.01","100.32","0"
"5/4/2017","98.99","99.7","98.4","99.54","0"
"5/5/2017","99.94","100.78","99.79","99.92","0"
"5/8/2017","99.49","99.49","98.53","99.18","0"
"5/9/2017","99.07","99.81","98.37","98.5","0"
"5/10/2017","98.81","99.24","97.78","98.57","0"
"5/11/2017","98.66","99.47","98.28","98.59","0"
"5/12/2017","98.69","99.23","98.06","98.3","0"
"5/15/2017","99.24","99.67","98.7","99.21","0"
"5/16/2017","99.89","99.89","98.96","99.24","0"
"5/17/2017","99.65","99.7","97.68","97.89","0"
"5/18/2017","97.34","97.34","95.65","96.42","0"
"5/19/2017","96.7","98.78","96.7","98.34","0"
"5/22/2017","98.87","99.23","98.27","98.7","0"
"5/23/2017","98.74","99.84","98.39","99.33","0"
"5/24/2017","99.87","100.74","98.99","100.01","0"
"5/25/2017","99.93","100.89","98.74","99.1","0"
"5/26/2017","99.36","100.1","98.85","99.58","0"
"5/30/2017","99.34","100.04","98.99","99.55","0"
"5/31/2017","98.96","99.56","97.63","99.13","0"
"6/1/2017","98.56","99.98","98.36","99.49","0"
"6/2/2017","99.25","99.47","98.44","98.87","0"
"6/5/2017","98.48","99.53","98.41","99.17","0"
"6/6/2017","99.34","101.46","98.97","101.14","0"
"6/7/2017","101.25","101.48","99.64","100.55","0"
"6/8/2017","100.1","102.69","99.54","102.09","0"
"6/9/2017","101.58","102.8","101.57","102.52","0"
"6/12/2017","102.21","103.7","102.21","102.62","0"
"6/13/2017","102.28","103.34","102.28","103.13","0"
"6/14/2017","103.97","103.97","100.38","100.83","0"
"6/15/2017","99.5","100.17","95.84","95.9","0"
"6/16/2017","95.92","96.73","94.78","95.69","0"
"6/19/2017","96.67","97.58","96.46","96.7","0"
"6/20/2017","95.9","96.28","95.12","95.97","0"
"6/21/2017","96.45","97.06","95.87","96.11","0"
"6/22/2017","96.45","97.95","96.29","97.52","0"
"6/23/2017","98.87","99.46","97.66","99.11","0"
"6/26/2017","99.17","99.7","98.6","99.16","0"
"6/27/2017","99.55","100.55","97.87","97.87","0"
"6/28/2017","98.78","99.72","97.82","99.32","0"
"6/29/2017","99.47","99.95","98.3","98.72","0"
"6/30/2017","99.01","99.56","98.43","98.52","0"
"7/3/2017","98.28","99.54","98","99.11","0"
"7/5/2017","99.33","100.16","98.8","100.01","0"
"7/6/2017","99.57","100.36","98.85","98.91","0"
"7/7/2017","98.91","99.17","97.13","98.08","0"
"7/10/2017","97.55","101.27","97.09","100.47","0"
"7/11/2017","100.57","101.22","99.37","100.98","0"
"7/12/2017","101.02","101.71","100.32","100.63","0"
"7/13/2017","101.01","102.53","100.57","101.87","0"
"7/14/2017","102.38","102.76","101.97","102.07","0"
"7/17/2017","102.79","104.58","102.79","103.76","0"
"7/18/2017","103.58","103.58","102.43","103.27","0"
"7/19/2017","103.43","104.63","103.43","104.52","0"
"7/20/2017","104.52","104.82","103.2","103.94","0"
"7/21/2017","104.27","104.92","103.7","104.52","0"
"7/24/2017","104.57","104.83","103.63","104.07","0"
"7/25/2017","106.11","112.56","106.11","111.54","0"
"7/26/2017","111.14","112.12","109.66","111.05","0"
"7/27/2017","111.55","111.55","109.07","109.44","0"
"7/28/2017","109.33","109.92","108.65","109.58","0"
"7/31/2017","110.45","110.5","109.44","109.88","0"
"8/1/2017","109.82","110.2","108.1","109.04","0"
"8/2/2017","107.55","108.78","106.84","108.46","0"
"8/3/2017","108.21","109.27","107.66","108.31","0"
"8/4/2017","108.46","108.7","107.75","108.19","0"
"8/7/2017","108.89","109.83","108.27","109.18","0"
"8/8/2017","109","109.29","107.68","107.97","0"
"8/9/2017","108.4","108.4","107.49","108.39","0"
"8/10/2017","108.03","108.9","107.14","107.26","0"
"8/11/2017","106.38","107.12","105.95","106.15","0"
"8/14/2017","106.6","106.65","105.89","106.33","0"
"8/15/2017","105.31","106.42","105.19","105.53","0"
"8/16/2017","105.72","108.65","105.72","108.63","0"
"8/17/2017","107.77","108.11","105.58","105.65","0"
"8/18/2017","105.65","106.94","105.11","105.16","0"
"8/21/2017","106.26","107.72","106.21","107.19","0"
"8/22/2017","107.71","109.46","107.6","108.5","0"
"8/23/2017","107.96","109.86","107.96","109.7","0"
"8/24/2017","109.65","110.61","108.89","109.85","0"
"8/25/2017","110.69","111.04","109.31","109.59","0"
"8/28/2017","110.4","112.26","110.09","111.45","0"
"8/29/2017","111.27","111.27","108.64","110.59","0"
"8/30/2017","110.53","110.55","109.35","109.42","0"
"8/31/2017","110.42","110.86","109.37","109.91","0"
"9/1/2017","110.6","111.58","110.53","111.21","0"
"9/5/2017","111.71","112.6","109.34","110.16","0"
"9/6/2017","109.5","110.98","109.5","110.79","0"
"9/7/2017","111.21","111.78","110.18","111.77","0"
"9/8/2017","110.64","110.75","108.35","109.19","0"
"9/11/2017","109.65","110.14","107.8","108.11","0"
"9/12/2017","107.47","107.89","106.32","107.72","0"
"9/13/2017","107.7","107.7","105.99","106.4","0"
"9/14/2017","106.34","106.84","105.38","106.6","0"
"9/15/2017","106.18","106.92","105.96","106.16","0"
"9/18/2017","106.08","107.5","105.95","107.19","0"
"9/19/2017","107.25","109.14","106.74","108.91","0"
"9/20/2017","109.22","110.13","107.07","108.2","0"
"9/21/2017","106.7","108.06","106.6","106.6","0"
"9/22/2017","106.54","107.95","106.21","107.28","0"
"9/25/2017","107.07","107.47","106.37","107.45","0"
"9/26/2017","107.13","108.04","106.91","106.91","0"
"9/27/2017","106.41","107.13","105.91","107.09","0"
"9/28/2017","106.65","108.82","106.14","108.51","0"
"9/29/2017","108.28","108.28","107.11","107.76","0"
"10/2/2017","107.11","109.07","107.11","108.91","0"
"10/3/2017","109","110.06","108.53","109.97","0"
"10/4/2017","110.1","110.72","109.37","109.63","0"
"10/5/2017","110.57","112.04","110.14","110.4","0"
"10/6/2017","109.75","109.88","108.6","109.12","0"
"10/9/2017","109.25","109.57","108.66","108.86","0"
"10/10/2017","109.59","109.98","108.51","108.69","0"
"10/11/2017","108.87","110.25","108.77","110.12","0"
"10/12/2017","110.15","111.25","109.85","110.69","0"
"10/13/2017","111.41","112.51","111.38","112.04","0"
"10/16/2017","113.71","114.15","111.71","112.09","0"
"10/17/2017","110.97","111.87","110.48","111.53","0"
"10/18/2017","111.2","111.67","110.59","110.88","0"
"10/19/2017","110.43","111.71","109.34","111.62","0"
"10/20/2017","112.22","112.9","111.86","112.46","0"
"10/23/2017","112.18","112.64","111.43","111.65","0"
"10/24/2017","112.22","112.93","111.88","112.68","0"
"10/25/2017","112.69","113.26","109.97","110.46","0"
"10/26/2017","111.26","111.4","108.71","109.93","0"
"10/27/2017","109.6","109.6","107.85","108.35","0"
"10/30/2017","107.91","108.72","107.68","107.68","0"
"10/31/2017","107.43","107.83","106.84","107.32","0"
"11/1/2017","109.18","110.22","108.18","108.46","0"
"11/2/2017","108.31","109.47","108.2","108.66","0"
"11/3/2017","108.58","108.71","107.11","107.74","0"
"11/6/2017","107.92","109.76","107.92","109.31","0"
"11/7/2017","108.93","109.14","108.29","108.57","0"
"11/8/2017","108.74","109.79","108.29","109.64","0"
"11/9/2017","108.68","108.7","107.56","108.14","0"
"11/10/2017","108.21","108.8","106.49","106.56","0"
"11/13/2017","106.2","107.4","106.12","106.73","0"
"11/14/2017","105.86","106.11","104.24","105.19","0"
"11/15/2017","104.04","104.89","103.17","104.6","0"
"11/16/2017","105.05","105.16","103.88","104.49","0"
"11/17/2017","104.18","105.53","104.16","105.23","0"
"11/20/2017","104.88","106.19","104.71","106.04","0"
