,Date,Open,High,Low,Close,Adj Close,Volume
112,"Sep 14, 2022",153.33,153.54,149.05,151.47,151.47,"43,064,200"
113,"Sep 13, 2022",161.54,161.63,152.67,153.13,153.13,"44,444,100"
114,"Sep 12, 2022",167.39,171.39,167.28,168.96,168.96,"23,220,400"
115,"Sep 09, 2022",163.25,169.54,163.02,169.15,169.15,"22,086,800"
116,"Sep 08, 2022",158.71,162.23,157.74,162.06,162.06,"22,530,800"
117,"Sep 07, 2022",157.76,160.96,156.81,160.39,160.39,"16,831,200"
118,"Sep 06, 2022",160.10,161.69,157.69,158.54,158.54,"19,339,800"
119,"Sep 02, 2022",167.45,167.93,159.22,160.32,160.32,"22,634,200"
120,"Sep 01, 2022",163.58,167.36,160.35,165.36,165.36,"30,145,700"
121,"Aug 31, 2022",167.07,167.84,162.14,162.93,162.93,"40,953,000"
122,"Aug 30, 2022",160.35,161.66,155.91,157.16,157.16,"19,567,900"
123,"Aug 29, 2022",160.66,163.05,159.01,159.17,159.17,"20,052,700"
124,"Aug 26, 2022",168.48,170.92,161.67,161.78,161.78,"24,023,600"
125,"Aug 25, 2022",165.18,168.88,164.02,168.78,168.78,"15,550,500"
126,"Aug 24, 2022",160.60,165.46,159.77,163.26,163.26,"20,891,500"
127,"Aug 23, 2022",162.48,165.05,160.70,161.11,161.11,"18,111,800"
128,"Aug 22, 2022",165.49,165.49,162.26,163.05,163.05,"19,499,700"
129,"Aug 19, 2022",170.20,172.32,167.05,167.96,167.96,"26,240,800"
130,"Aug 18, 2022",174.34,175.76,171.86,174.66,174.66,"18,844,500"
131,"Aug 17, 2022",176.76,178.14,174.17,174.85,174.85,"20,118,100"
132,"Aug 16, 2022",179.44,180.99,177.04,179.47,179.47,"21,156,700"
133,"Aug 15, 2022",178.96,181.44,178.20,180.89,180.89,"15,878,700"
134,"Aug 12, 2022",180.81,181.46,178.91,180.50,180.50,"21,274,000"
135,"Aug 11, 2022",179.71,183.10,176.37,177.49,177.49,"24,079,100"
136,"Aug 10, 2022",175.99,180.48,173.95,178.34,178.34,"30,262,100"
137,"Aug 09, 2022",168.95,169.53,166.60,168.53,168.53,"18,655,100"
138,"Aug 08, 2022",168.00,177.51,167.13,170.25,170.25,"27,299,100"
139,"Aug 05, 2022",166.99,171.61,165.80,167.11,167.11,"25,832,700"
140,"Aug 04, 2022",168.30,172.15,166.80,170.57,170.57,"23,938,200"
141,"Aug 03, 2022",162.69,169.54,161.57,168.80,168.80,"31,721,900"
142,"Aug 02, 2022",158.31,162.24,158.01,160.19,160.19,"27,374,500"
143,"Aug 01, 2022",157.25,165.19,155.23,159.93,159.93,"40,596,700"
144,"Jul 29, 2022",157.69,160.14,155.17,159.10,159.10,"42,065,400"
145,"Jul 28, 2022",161.06,161.51,154.85,160.72,160.72,"73,214,300"
146,"Jul 27, 2022",162.59,170.87,162.02,169.58,169.58,"43,846,600"
147,"Jul 26, 2022",165.94,166.00,157.95,159.15,159.15,"28,468,400"
148,"Jul 25, 2022",169.00,170.57,164.81,166.65,166.65,"26,166,300"
149,"Jul 22, 2022",173.07,175.60,168.41,169.27,169.27,"42,583,900"
150,"Jul 21, 2022",180.63,183.85,178.87,183.17,183.17,"27,195,800"
151,"Jul 20, 2022",177.49,183.60,176.70,183.09,183.09,"24,784,300"
152,"Jul 19, 2022",170.37,176.49,169.51,175.78,175.78,"25,933,700"
153,"Jul 18, 2022",166.75,171.69,165.64,167.23,167.23,"23,574,300"
154,"Jul 15, 2022",160.54,164.98,159.82,164.70,164.70,"23,342,800"
155,"Jul 14, 2022",161.22,162.59,157.28,158.05,158.05,"23,765,200"
156,"Jul 13, 2022",160.16,164.98,159.61,163.49,163.49,"16,555,100"
